entry_id,game_id,player_id,period,clock,is_entry,entry_success,entry_type,from_x,from_y,to_x,to_y
1,1,1,3,10:23,1,1,Controlled,69.9,78.0,79.6,80.9
2,1,1,1,00:11,1,1,Dump-in,65.0,2.1,92.7,16.2
3,1,1,2,15:14,1,1,Controlled,63.1,29.1,85.8,32.5
4,1,1,2,06:20,1,0,Controlled,52.3,38.2,90.5,52.7
5,1,1,1,19:27,1,1,Controlled,51.6,96.6,98.7,100.0
6,1,1,3,03:01,1,1,Controlled,67.1,83.3,90.2,73.5
7,1,1,2,03:13,1,0,Dump-in,63.0,18.5,88.7,32.6
8,1,1,3,17:46,1,1,Controlled,73.0,19.6,77.2,6.0
9,1,1,1,06:08,1,1,Controlled,64.7,60.7,99.1,54.0
10,1,1,1,04:41,1,0,Dump-in,55.0,81.5,75.1,87.8
11,1,2,3,04:34,1,1,Controlled,66.3,85.0,97.9,83.5
12,1,2,2,13:38,1,0,Dump-in,72.2,12.0,86.8,18.4
13,1,2,3,19:31,1,1,Controlled,63.1,2.5,85.7,0.0
14,1,2,2,18:21,1,0,Dump-in,53.5,54.0,90.1,45.1
15,1,2,2,10:57,1,1,Controlled,65.6,10.5,82.4,9.2
16,1,2,3,08:02,1,0,Controlled,72.4,11.0,83.0,2.8
17,1,2,3,08:51,1,1,Controlled,54.1,48.5,88.4,54.3
18,1,2,1,16:58,1,1,Dump-in,51.6,24.7,81.3,30.6
19,1,2,1,11:25,1,1,Controlled,74.4,3.3,85.3,0.0
20,1,2,2,19:33,1,1,Dump-in,56.1,76.2,91.8,68.3
21,1,3,2,02:19,1,1,Controlled,60.0,79.8,95.4,69.4
22,1,3,3,07:38,1,0,Controlled,55.5,81.0,92.8,76.4
23,1,3,2,06:59,1,1,Controlled,70.9,73.5,91.9,64.8
24,1,3,2,08:40,1,0,Dump-in,74.6,26.1,87.9,41.0
25,1,3,3,16:07,1,0,Dump-in,67.5,85.6,96.2,82.8
26,1,3,2,13:17,1,1,Dump-in,66.7,37.2,89.5,50.4
27,1,3,2,19:55,1,1,Controlled,67.3,22.4,91.3,28.8
28,1,3,3,05:37,1,1,Controlled,68.0,54.3,82.7,54.5
29,1,3,1,00:04,1,1,Controlled,62.2,43.4,97.7,38.9
30,1,3,1,13:52,1,0,Dump-in,62.5,76.9,89.3,63.2
31,2,1,2,00:51,1,0,Dump-in,59.3,92.8,75.4,90.7
32,2,1,3,02:39,1,1,Controlled,57.6,26.8,79.8,26.4
33,2,1,2,16:39,1,0,Controlled,52.4,99.0,90.4,88.2
34,2,1,1,12:59,1,1,Controlled,53.4,55.3,92.7,49.2
35,2,1,2,18:22,1,1,Controlled,50.1,19.4,90.7,6.6
36,2,1,3,16:51,1,1,Controlled,59.4,57.8,77.3,43.9
37,2,1,2,04:38,1,1,Dump-in,70.6,12.7,84.0,13.4
38,2,1,2,09:29,1,0,Dump-in,51.3,54.1,88.3,58.2
39,2,1,3,08:11,1,0,Controlled,69.9,43.9,81.8,31.3
40,2,1,1,12:52,1,1,Controlled,51.5,44.2,97.9,36.4
41,2,2,1,15:50,1,1,Controlled,73.9,55.4,93.4,58.8
42,2,2,1,04:11,1,0,Controlled,53.0,9.2,83.5,0.0
43,2,2,2,04:35,1,1,Controlled,69.1,34.6,95.2,33.6
44,2,2,2,15:23,1,1,Controlled,56.5,93.3,75.4,93.4
45,2,2,3,00:32,1,1,Controlled,73.6,63.6,96.7,72.7
46,2,2,1,12:11,1,1,Dump-in,63.6,38.6,98.5,52.4
47,2,2,3,09:25,1,1,Controlled,59.4,61.8,76.0,56.9
48,2,2,2,03:24,1,0,Controlled,70.4,11.8,82.0,17.7
49,2,2,1,03:17,1,1,Controlled,74.2,42.3,88.7,44.4
50,2,2,1,02:40,1,0,Controlled,69.4,93.1,83.5,100.0
51,2,3,2,11:40,1,1,Dump-in,72.6,82.6,87.6,77.2
52,2,3,3,04:34,1,1,Controlled,52.3,95.0,83.0,100.0
53,2,3,1,06:13,1,0,Controlled,63.8,94.6,80.3,100.0
54,2,3,3,11:16,1,0,Dump-in,51.4,54.6,93.4,60.8
55,2,3,1,04:37,1,1,Dump-in,71.0,22.3,85.7,19.2
56,2,3,3,03:05,1,0,Dump-in,64.5,88.0,96.6,80.1
57,2,3,3,12:12,1,1,Controlled,62.0,70.5,84.4,63.0
58,2,3,2,12:27,1,1,Controlled,61.7,11.9,76.4,0.4
59,2,3,2,12:31,1,0,Controlled,60.0,8.3,86.9,9.1
60,2,3,1,19:56,1,1,Controlled,51.1,52.8,97.3,67.6
61,3,1,2,10:11,1,1,Controlled,54.2,29.4,80.4,44.3
62,3,1,2,07:57,1,1,Controlled,73.8,45.6,97.3,49.2
63,3,1,2,19:12,1,1,Controlled,56.6,26.0,84.0,24.6
64,3,1,1,09:55,1,0,Controlled,53.3,94.1,76.9,91.6
65,3,1,2,16:10,1,0,Dump-in,71.7,2.6,76.1,0.0
66,3,1,1,00:20,1,1,Controlled,68.7,82.9,84.8,85.0
67,3,1,3,04:09,1,0,Controlled,71.6,100.0,95.3,100.0
68,3,1,2,00:48,1,1,Controlled,59.4,20.5,81.0,13.0
69,3,1,2,11:00,1,0,Dump-in,59.0,67.2,77.8,67.8
70,3,1,2,04:20,1,1,Controlled,74.2,79.2,77.2,81.9
71,3,2,2,14:26,1,1,Controlled,67.6,13.6,80.3,0.0
72,3,2,3,18:16,1,1,Controlled,72.6,51.4,83.7,59.9
73,3,2,1,05:52,1,1,Controlled,69.9,84.2,86.5,92.3
74,3,2,2,10:53,1,1,Controlled,58.2,24.0,90.8,11.3
75,3,2,1,04:17,1,1,Controlled,72.4,66.8,86.8,56.9
76,3,2,2,13:25,1,1,Controlled,54.4,12.1,77.2,10.9
77,3,2,1,15:16,1,1,Controlled,58.0,48.1,77.3,53.7
78,3,2,2,13:25,1,0,Controlled,71.7,59.7,77.1,74.3
79,3,2,3,13:42,1,1,Controlled,63.3,6.2,93.0,0.0
80,3,2,3,09:38,1,1,Controlled,50.8,35.4,96.7,32.3
81,3,3,1,09:02,1,1,Controlled,71.0,53.5,77.2,45.5
82,3,3,1,18:41,1,1,Dump-in,62.5,53.7,77.2,56.3
83,3,3,1,00:52,1,1,Controlled,58.4,60.8,97.5,53.1
84,3,3,2,08:54,1,0,Controlled,55.6,48.8,84.1,59.3
85,3,3,3,03:14,1,0,Controlled,63.1,98.2,85.3,86.6
86,3,3,2,18:44,1,0,Dump-in,74.4,72.3,87.3,81.9
87,3,3,1,13:37,1,1,Controlled,54.7,42.5,83.1,42.8
88,3,3,1,04:22,1,1,Controlled,62.7,32.1,98.3,34.9
89,3,3,2,10:14,1,0,Controlled,74.7,81.0,83.1,73.6
90,3,3,2,10:08,1,1,Dump-in,60.3,93.0,83.7,100.0
91,4,1,2,08:36,1,1,Dump-in,54.5,74.1,76.7,76.3
92,4,1,2,12:41,1,0,Controlled,70.0,18.6,95.6,10.7
93,4,1,1,14:32,1,1,Controlled,67.1,71.4,86.3,83.4
94,4,1,1,05:05,1,1,Controlled,58.9,53.2,84.8,40.2
95,4,1,3,06:26,1,1,Controlled,65.7,13.9,83.4,22.7
96,4,1,1,09:04,1,1,Controlled,53.8,24.8,82.8,32.2
97,4,1,3,14:28,1,1,Controlled,68.9,53.6,77.6,50.0
98,4,1,1,10:26,1,1,Controlled,62.2,77.2,85.2,62.6
99,4,1,1,10:11,1,1,Controlled,70.7,34.3,99.0,26.1
100,4,1,2,03:47,1,0,Dump-in,64.7,61.1,87.6,46.7
101,4,2,1,13:39,1,1,Controlled,73.1,15.3,92.7,17.5
102,4,2,1,00:53,1,1,Dump-in,73.1,11.3,86.3,25.9
103,4,2,3,08:34,1,0,Controlled,55.7,37.9,90.2,45.3
104,4,2,3,10:58,1,0,Controlled,60.4,92.3,96.6,91.3
105,4,2,3,10:21,1,1,Dump-in,53.5,49.8,79.4,47.4
106,4,2,2,07:48,1,1,Controlled,50.3,17.8,91.6,31.6
107,4,2,3,16:44,1,1,Dump-in,64.9,75.0,76.7,66.3
108,4,2,1,16:49,1,1,Controlled,61.8,6.6,89.1,14.8
109,4,2,2,09:18,1,1,Dump-in,64.0,18.2,78.9,29.0
110,4,2,2,02:23,1,1,Dump-in,63.2,97.9,95.0,100.0
111,4,3,3,14:07,1,1,Controlled,66.8,10.4,75.5,19.4
112,4,3,2,13:30,1,0,Dump-in,70.1,60.3,99.7,69.5
113,4,3,3,03:28,1,1,Controlled,72.4,8.6,75.3,0.0
114,4,3,2,11:19,1,1,Controlled,72.3,34.2,95.4,27.0
115,4,3,1,11:23,1,0,Controlled,58.6,36.3,94.3,47.1
116,4,3,1,13:08,1,1,Controlled,71.7,89.5,87.2,98.5
117,4,3,2,12:33,1,0,Dump-in,65.8,13.9,81.4,24.0
118,4,3,3,04:24,1,1,Controlled,67.1,53.0,95.6,62.4
119,4,3,2,07:33,1,0,Dump-in,70.7,1.1,80.2,0.0
120,4,3,1,01:59,1,1,Controlled,66.6,91.4,79.4,89.0
